feature,aim1_effect_coding_minus_other,aim2_effect_sweep_minus_control,in_top200_both
450,0.0,0.0,False
451,-8.740671e-07,-4.0142113e-06,False
452,0.0,0.0,False
453,0.0,0.0,False
454,0.0,0.0,False
455,0.0,0.0,False
456,8.9172727e-07,-1.20652185e-05,False
457,0.0,0.0,False
458,0.0,0.0,False
459,0.0,0.0,False
460,4.9173136e-06,1.0917487e-05,False
461,4.285619e-09,2.1425024e-08,False
462,-0.0003473647,0.0015437603,False
463,1.8556254e-06,-7.662507e-06,False
464,0.0,0.0,False
465,0.0,0.0,False
466,0.0,0.0,False
467,0.0,0.0,False
468,1.8902091e-07,-2.6978232e-06,False
469,-0.00020531677,0.00046918355,False
470,2.9226747e-08,-1.0797639e-06,False
471,0.0,0.0,False
472,0.0,0.0,False
473,1.4327152e-06,-2.1046299e-07,False
474,0.0,0.0,False
475,1.4491805e-05,-0.00017831907,False
476,-1.0718029e-06,2.4874333e-07,False
477,0.0,0.0,False
478,-2.389769e-07,-7.0927636e-06,False
479,1.5288862e-07,0.0,False
480,-1.1952109e-05,2.2566237e-06,False
481,-2.801877e-07,-2.7700087e-05,False
482,0.0,0.0,False
483,0.0,0.0,False
484,0.0,0.0,False
485,-6.169782e-05,0.002161188,False
486,2.837444e-07,-3.2056778e-07,False
487,7.5621733e-06,3.1831267e-05,False
488,-1.7556251e-06,-9.468888e-06,False
489,-1.0375476e-08,-8.41383e-08,False
490,0.0,0.0,False
491,0.0,0.0,False
492,2.1271583e-07,6.081839e-06,False
493,-1.0211472e-06,3.1767456e-07,False
494,-1.4922076e-08,-1.8479714e-06,False
495,0.0,0.0,False
496,3.3132437e-07,4.7499198e-05,False
497,-1.7738728e-08,5.03126e-07,False
498,-6.3808957e-06,-3.8873695e-06,False
499,0.0,0.0,False
500,3.0534017e-07,-7.1123196e-08,False
501,4.4466146e-06,1.8522383e-05,False
502,0.0,0.0,False
503,0.0,0.0,False
504,0.0,0.0,False
505,0.0,0.0,False
506,-1.1932679e-09,3.7716188e-08,False
507,0.0,0.0,False
508,0.0,-2.4424759e-08,False
509,3.687294e-07,-2.6873895e-06,False
510,2.852845e-08,0.0,False
511,5.7068955e-06,-0.000106256455,False
512,0.0,0.0,False
513,-0.0004852643,0.0027790256,False
514,0.0,0.0,False
515,0.0,0.0,False
516,-6.7699966e-07,5.283034e-07,False
517,0.0,0.0,False
518,-3.0390223e-07,7.0257215e-08,False
519,0.0,0.0,False
520,0.0,0.0,False
521,0.0,0.0,False
522,-3.1947505e-07,6.868703e-09,False
523,0.0,0.0,False
524,1.041595e-06,-3.263829e-06,False
525,0.0,0.0,False
526,0.0,0.0,False
527,0.0,0.0,False
528,-7.2499444e-07,-4.317967e-07,False
529,0.0,0.0,False
530,1.7798552e-06,0.00020072499,False
531,0.0,0.0,False
532,-1.4842694e-06,-9.1038237e-07,False
533,0.0,0.0,False
534,-3.445028e-06,9.90276e-07,False
535,0.0,0.0,False
536,0.0,0.0,False
537,2.0226755e-06,-6.1884293e-07,False
538,-7.4268235e-07,5.1975485e-07,False
539,2.8042496e-06,-4.6533907e-05,False
540,8.290939e-06,-7.6036667e-06,False
541,0.0,0.0,False
542,0.0,0.0,False
543,0.0,1.1771233e-07,False
544,-3.1713512e-07,-8.813499e-06,False
545,-2.1711458e-10,1.1269723e-06,False
546,1.8656916e-08,0.0,False
547,-2.7580172e-06,2.701875e-06,False
548,-1.8564265e-07,8.227836e-05,False
549,1.614064e-06,1.1858522e-06,False
550,-4.1040765e-10,0.0,False
551,-2.8673421e-06,-1.1846014e-06,False
552,0.0,0.0,False
553,0.0,0.0,False
554,0.0,0.0,False
555,-7.545108e-07,2.2266374e-07,False
556,0.0,0.0,False
557,-1.4549805e-08,-1.6229193e-07,False
558,-1.2443342e-10,0.0,False
559,0.0,0.0,False
560,1.1831896e-06,4.4567805e-05,False
561,-3.0669675e-05,-0.00015950587,False
562,0.0,-5.982253e-08,False
563,0.0,0.0,False
564,-5.189397e-08,-3.1278478e-07,False
565,0.0,0.0,False
566,0.0,0.0,False
567,-1.4503738e-07,-6.4503917e-07,False
568,5.3754998e-06,-4.061556e-06,False
569,0.0,0.0,False
570,-9.3382783e-07,2.2280005e-06,False
571,0.0,-3.8710715e-07,False
572,0.0,0.0,False
573,1.2412204e-06,-1.0263811e-06,False
574,0.0,0.0,False
575,0.0,0.0,False
576,2.2215877e-08,-1.805784e-07,False
577,0.0,0.0,False
578,0.00022079606,0.011975624,False
579,-9.997127e-08,0.0,False
580,0.00016608858,0.0023145145,False
581,0.0,0.0,False
582,-3.4859281e-06,7.501271e-05,False
583,0.0,0.0,False
584,0.0,0.0,False
585,-1.362792e-07,-3.2070643e-06,False
586,0.0,0.0,False
587,0.0,0.0,False
588,0.0,0.0,False
589,1.5717566e-06,2.2119355e-05,False
590,-2.0688454e-05,5.5587487e-05,False
591,0.0,0.0,False
592,9.344839e-06,-0.00013066002,False
593,0.0,-1.3566181e-07,False
594,0.0,0.0,False
595,0.0,0.0,False
596,4.586787e-06,-2.3758475e-05,False
597,4.084869e-07,1.3001531e-07,False
598,0.0,0.0,False
599,-3.0293113e-06,2.1702934e-05,False
600,0.0,0.0,False
601,0.0,0.0,False
602,0.0,0.0,False
603,0.0,0.0,False
604,-4.784495e-09,5.997459e-08,False
605,0.0,0.0,False
606,0.0,0.0,False
607,0.0,0.0,False
608,0.0,0.0,False
609,-5.119685e-06,9.756342e-05,False
610,0.0,0.0,False
611,0.0,0.0,False
612,0.0,0.0,False
613,-1.3551617e-06,0.00011312845,False
614,0.0,0.0,False
615,0.0,0.0,False
616,0.0,0.0,False
617,-2.8466575e-06,4.7346894e-06,False
618,1.1270098e-05,-0.0001637995,False
619,0.0,0.0,False
620,0.0,1.6000476e-07,False
621,8.163592e-08,3.0016975e-07,False
622,0.0,0.0,False
623,0.0,0.0,False
624,0.0,0.0,False
625,8.664779e-08,7.52741e-05,False
626,-2.4656823e-05,-0.00013102952,False
627,-5.2390238e-05,0.0003124748,False
628,0.0,0.0,False
629,-2.2040651e-05,6.567021e-05,False
630,-1.444816e-07,0.0,False
631,0.0,0.0,False
632,0.0,0.0,False
633,0.0,0.0,False
634,0.0,0.0,False
635,0.0,0.0,False
636,0.0,0.0,False
637,3.9939553e-07,-1.9902764e-06,False
638,-1.9847059e-05,0.010659702,False
639,0.0,0.0,False
640,-1.9507443e-07,1.6833819e-06,False
641,0.0,0.0,False
642,1.6049957e-07,0.0,False
643,5.702634e-08,-1.6938438e-06,False
644,-2.96488e-07,-6.8625784e-05,False
645,0.0,0.0,False
646,0.0,0.0,False
647,0.0,0.0,False
648,0.0,0.0,False
649,0.0,0.0,False
650,0.0,0.0,False
651,-3.7930477e-08,-8.9605106e-05,False
652,0.0,0.0,False
653,0.0,0.0,False
654,0.0,0.0,False
655,0.0,7.77932e-08,False
656,0.0,0.0,False
657,8.1236595e-07,8.084371e-06,False
658,-7.654213e-06,0.000108269625,False
659,-6.0281372e-06,9.6156946e-05,False
660,-4.076751e-05,-7.7067525e-05,False
661,8.125418e-07,-8.663405e-06,False
662,0.0,0.0,False
663,-4.2505596e-07,3.264653e-06,False
664,4.9732525e-06,2.9451272e-05,False
665,-5.238082e-06,-2.282075e-06,False
666,0.0,0.0,False
667,0.0,0.0,False
668,-9.551329e-07,8.811279e-06,False
669,-1.0355084e-06,2.9218689e-05,False
670,0.0,0.0,False
671,0.0,0.0,False
672,0.0,0.0,False
673,2.9543594e-07,1.4528658e-06,False
674,0.0,0.0,False
675,-2.6252028e-05,-0.0001899153,False
676,0.0,0.0,False
677,0.0,0.0,False
678,-1.4142919e-06,2.793454e-05,False
679,3.543617e-08,0.0,False
680,1.5833299e-06,-2.1266977e-05,False
681,4.744672e-05,-0.00022262591,False
682,-5.3461476e-06,2.1987325e-06,False
683,0.0,0.0,False
684,0.0,0.0,False
685,0.0,0.0,False
686,6.745009e-09,0.0,False
687,4.3299212e-07,-6.7249002e-06,False
688,0.0,5.775326e-07,False
689,3.8259407e-07,-2.2771555e-06,False
690,2.4382297e-07,2.7172393e-07,False
691,0.0,0.0,False
692,1.0397396e-05,-9.8972785e-05,False
693,4.6488378e-07,-1.4047666e-06,False
694,0.0,0.0,False
695,0.0,0.0,False
696,0.0,0.0,False
697,0.0,0.0,False
698,0.0,0.0,False
699,-1.544824e-08,0.0,False
700,5.078059e-05,-9.709038e-06,False
701,8.2843195e-05,-0.0011834191,False
702,1.5603771e-06,-4.019871e-06,False
703,1.6658068e-07,-2.1252276e-07,False
704,1.6656733e-06,-8.724142e-06,False
705,2.2284603e-06,1.2904471e-05,False
706,0.0,0.0,False
707,0.0,0.0,False
708,0.0,0.0,False
709,0.0,0.0,False
710,0.0,0.0,False
711,-4.6857994e-07,-1.1668726e-07,False
712,0.00018344625,0.0033893343,False
713,5.2422358e-08,-5.035183e-07,False
714,8.475587e-08,-7.495376e-08,False
715,0.0,0.0,False
716,0.0,0.0,False
717,0.0,0.0,False
718,0.0,0.0,False
719,4.399838e-06,-6.1839746e-05,False
720,2.1328274e-06,-8.407653e-06,False
721,0.0,0.0,False
722,1.6638572e-07,1.0138561e-06,False
