feature	std_effect	effect_mean_diff	p_value	p_adj_bh	direction
f6531	0.2809163094943578	5.1419143683233416e-06	1.999313502280381e-05	0.0096184356648676	up
f3297	0.33636447928941515	6.919054041645722e-06	1.946157022470848e-05	0.0096184356648676	up
f25100	0.12312771505031793	4.669689853471936e-06	2.171270157306646e-05	0.0098816917381422	up
f30042	0.20665343124606897	1.6265350825051428e-05	2.1592361472348828e-05	0.0098816917381422	up
f11280	-0.39978138538498287	-0.0006833893726579	2.2741828995219325e-05	0.0100792309254652	down
f17664	0.3225153752574167	1.6429208779300097e-05	2.2761935073377416e-05	0.0100792309254652	up
f26515	0.014320781135209527	1.3420821051113306e-07	2.429617579691123e-05	0.0106151611801758	up
f28341	0.1789369095977956	1.0776414035717608e-05	2.8380974389252172e-05	0.0115041052807996	up
f27274	0.23014292697645172	2.0649985268391903e-05	2.904639274942469e-05	0.0115041052807996	up
f26898	0.33086582528702874	0.0004091922371881	2.9276747789071464e-05	0.0115041052807996	up
f26330	0.1395693398807434	1.3073258596705272e-06	2.9205076268920015e-05	0.0115041052807996	up
f29711	0.19026521143373398	8.841128117182962e-06	2.930651814931268e-05	0.0115041052807996	up
f14764	0.30078451163130504	1.5152821059018604e-05	2.926715648956009e-05	0.0115041052807996	up
f6549	0.3412706091399917	0.0003733863404704	2.949050425986233e-05	0.0115041052807996	up
f3717	0.3368122778475451	5.113350052852184e-06	2.679161662371886e-05	0.0115041052807996	up
f16290	0.2903855669650464	7.304633967032714e-05	2.8591988187326643e-05	0.0115041052807996	up
f6196	0.24438716310888442	9.29977414489258e-06	3.0088164301557935e-05	0.011572844101853	up
f8414	0.28667742033801874	4.611949778336566e-06	3.037306496458014e-05	0.011572844101853	up
f15134	0.2707873247297642	2.5305189897153465e-05	3.07383554680792e-05	0.0115774072641151	up
f20170	0.23566283837100202	2.9340207282075426e-05	3.1643684885006606e-05	0.011782957571726	up
f26830	0.20309680254317217	3.1225565981003453e-06	3.348915490222607e-05	0.0123300295262488	up
f8567	0.13282198519995986	2.5218950158887313e-06	3.47908239720975e-05	0.0126669524435298	up
f16429	0.19888166924199627	3.2907777203945445e-06	3.533790262069832e-05	0.0127247515722532	up
f16013	0.38109488568461464	4.498146236073808e-06	3.745349531347778e-05	0.0133399579829569	up
f16787	0.1830838933747813	1.3420953393506353e-05	3.8017685392879745e-05	0.0133953066124073	up
f29394	0.2554850643246267	4.510219539952231e-06	3.9833303126934106e-05	0.0138857199666316	up
f22712	0.24499657537906244	4.432046083820751e-06	4.233278596911372e-05	0.014438907511872	up
f27549	0.24421903880976098	0.0001834064318827	4.2742127339220845e-05	0.014438907511872	up
f27838	0.31314602043082745	1.5216556098494035e-05	4.201643166058067e-05	0.014438907511872	up
f3925	0.18476388543797867	2.8584522237906636e-05	4.4741557269293405e-05	0.0148316840138812	up
f18962	0.12916286573524002	6.938976042874856e-06	4.481008048627466e-05	0.0148316840138812	up
f17356	0.305436898631368	6.20593716048461e-05	4.572179303553265e-05	0.0149821171418833	up
f20833	0.2332103612892137	2.8613877209863855e-05	4.708667977941159e-05	0.0152765972575421	up
f3269	0.3501404482863267	1.8205487072918913e-05	4.844676128936521e-05	0.015377917435202	up
f9178	0.2709354465682912	2.578130034271453e-05	4.965880060268496e-05	0.015377917435202	up
f10609	0.29119937476362795	0.0001464290605454	4.966493972920772e-05	0.015377917435202	up
f18370	0.2540632353634816	4.8437333502079127e-05	4.974546045322935e-05	0.015377917435202	up
f19888	0.28095162959882586	3.779332292106119e-05	4.889525511633801e-05	0.015377917435202	up
f23785	0.27424041577638014	0.0001451150208922	5.1049393027224805e-05	0.0156335187917392	up
f27159	0.23493516679135656	3.3337879212922415e-06	5.307325807956958e-05	0.0161028196365864	up
f7528	0.2826285672412081	0.0002127298589384	5.654990697214585e-05	0.0170002509326905	up
f3035	0.3291060243664364	3.114744426056859e-06	5.96286813338685e-05	0.0177628420904382	up
f968	0.21932523141333557	5.137536438269308e-06	6.149491924263192e-05	0.0181537433670501	up
f31082	0.3865176590497347	3.942333175473323e-05	6.334606598925441e-05	0.0185332490208561	up
f19991	0.19893591153817375	1.5436056737598843e-06	6.48107650122573e-05	0.0187939747603685	up
f2854	0.08829826777782664	2.5056229871552205e-05	6.619804337044702e-05	0.0188980618191322	up
f29590	0.2634877619600201	5.893965604627738e-06	6.632315396729162e-05	0.0188980618191322	up
f20681	0.05003567847648837	6.847026361356256e-06	6.778433795966076e-05	0.0191479067781221	up
f6101	0.30374267082646245	0.0003731357590295	7.184859838773415e-05	0.0201225202732416	up
f22698	0.35229924940771373	1.765597936537233e-05	7.255797898858264e-05	0.0201489818262531	up
f11069	0.2110808001478936	1.5585514291160508e-05	7.409126744310449e-05	0.020231855429797	up
f32701	0.14428790115870654	4.990449720935431e-06	7.39205465827926e-05	0.020231855429797	up
f26313	0.1345839193904792	1.7389100004947976e-05	7.555639630314108e-05	0.0204614214385233	up
f8949	0.19272599684162747	2.2630995096733386e-05	7.839919957843171e-05	0.0206847172076833	up
f25470	0.2551260272295704	5.177703365006891e-06	7.747099012629516e-05	0.0206847172076833	up
f26621	0.18897424634424498	9.907377625495429e-06	7.89059341723761e-05	0.0206847172076833	up
f28820	0.1928336716490229	5.4544825148695965e-05	7.78667581896824e-05	0.0206847172076833	up
f4526	0.413324771128477	2.8720643640554043e-06	7.957699604074095e-05	0.0206950714782777	up
f5745	0.1973263552802841	1.2174180024885572e-05	8.355523071335213e-05	0.0210610600001163	up
f10519	0.3357649575113098	4.6502379540470426e-05	8.243260907452146e-05	0.0210610600001163	up
f15063	0.127212138242118	7.068961502227466e-06	8.239844941810221e-05	0.0210610600001163	up
f15388	0.2707352809045584	1.836891844504862e-06	8.293538019069981e-05	0.0210610600001163	up
f29551	0.33653432635692876	3.0808369410806336e-06	8.619800303218354e-05	0.0213830339094804	up
f21180	0.19352440176653962	0.0001316431459163	8.823228308449968e-05	0.0213830339094804	up
f16238	0.3073029130053582	1.718966703992919e-05	8.857153984056097e-05	0.0213830339094804	up
f14344	0.28453879575835717	3.932057494239416e-06	8.713606609932535e-05	0.0213830339094804	up
f11875	0.2398886238219828	3.5757228579313963e-06	8.874794347196494e-05	0.0213830339094804	up
f768	0.2230764669197853	0.0001396492104213	8.739661997105556e-05	0.0213830339094804	up
f27013	0.09281306422400104	1.542513112508459e-05	9.130438359966972e-05	0.0218384090641896	up
f2696	0.31691615255760575	0.0001590495345953	9.226138620391644e-05	0.021907399298043	up
f9058	0.1757868725601156	8.405592352573877e-06	9.500236950407385e-05	0.0221496038105483	up
f10386	0.20125819060121608	7.825398583008792e-05	9.530926932639504e-05	0.0221496038105483	up
f19537	0.2922480626112671	2.870889446057845e-05	9.458340647701567e-05	0.0221496038105483	up
f20821	-0.03490049470786064	-1.0562332045083169e-06	9.638738518681568e-05	0.0222424073084618	down
f31202	0.46508555279502933	2.208252175478265e-06	9.727954436188424e-05	0.0222913014660854	up
f31302	0.2174193330430212	1.2509579664765623e-05	9.926517789993268e-05	0.0225883427043402	up
f23694	0.12376946102821217	7.553950425062794e-06	0.0001016019221799	0.0229606330068491	up
f9900	0.08185027700974835	1.5507751049881335e-06	0.0001035010121126	0.0232295970199069	up
f8161	-0.3734446025572573	-0.0002689005529973	0.0001055782446398	0.0232590225763387	down
f24959	0.19108479072546664	6.434028872808995e-05	0.0001064713557876	0.0232590225763387	up
f2965	0.3771013630625617	3.681917954963865e-06	0.0001063684902998	0.0232590225763387	up
f4873	0.24969368301917275	0.0003644463822711	0.0001050410834036	0.0232590225763387	up
f1325	0.14168287542517374	1.4708687454003666e-05	0.0001102936614736	0.023531672063341	up
f15011	0.16814576149119193	5.071496299024148e-06	0.000109607061829	0.023531672063341	up
f23301	0.187634114418075	0.0002434325460708	0.0001099612736116	0.023531672063341	up
f24095	0.2983154349584775	3.776105822907994e-06	0.0001109370531141	0.023531672063341	up
f24375	0.4566401133445507	6.01690817711642e-06	0.0001113100942937	0.023531672063341	up
f11833	0.24012579183438149	0.000115071811655	0.0001120397012643	0.0235340828912141	up
f20844	0.23094212475054257	5.089800564019243e-05	0.0001133815694994	0.023664250123306	up
f28612	0.16601288303253142	2.6849228592254805e-05	0.0001141283386867	0.023669350646118	up
f10251	0.19595443455752135	7.785047626384767e-06	0.0001168623599667	0.0240186529828851	up
f11459	0.4179784075925677	7.125805563191534e-06	0.0001172785790179	0.0240186529828851	up
f7341	0.19885472529248113	2.9369456424319647e-06	0.0001205689847586	0.0240902712961578	up
f17323	0.30028232368012564	0.003337129574269	0.0001196783892558	0.0240902712961578	up
f29235	0.24419596834031496	8.772844576014904e-06	0.0001204272540429	0.0240902712961578	up
f29445	0.20977150862792923	1.1407657901145284e-05	0.0001189802259136	0.0240902712961578	up
f32488	0.018782364245045743	9.208041738020258e-07	0.0001257727413814	0.0247195299022874	up
f25296	0.21774972015300395	1.5833883750019595e-05	0.0001255986467079	0.0247195299022874	up
f19531	0.2696239873003262	6.103034531042795e-05	0.000126045308015	0.0247195299022874	up
f4982	-0.3486410298989527	-0.0003908738444442	0.000126735871081	0.0247195299022874	down
f6272	0.22050581148183973	2.9275863926159216e-06	0.0001282155695758	0.0247959617279149	up
f9223	0.15145497780457925	2.6720120267782477e-06	0.0001294877481154	0.0247959617279149	up
