feature	feature_idx	inv_vs_indel_mean_diff_raw	inv_vs_indel_cohen_d	p	q
f1196	1196	0.0002068468263990196	0.5221008779401587	3.047931060058325e-21	6.527751959215111e-19
f23022	23022	0.00017342685128954012	0.5182951004055316	3.5832905775404575e-21	7.624497769145825e-19
f11713	11713	-0.00012171799148615847	-0.5209798751956544	3.692039657385237e-21	7.805210031819319e-19
f5097	5097	-0.00015227578940019677	-0.5209381554030477	3.739784810441324e-21	7.85546594029111e-19
f19222	19222	-0.00011110864030342781	-0.5206554457348035	3.804038199199251e-21	7.939536542124908e-19
f11290	11290	0.0001672609626932951	0.5203900207318138	3.9499985619209445e-21	8.089597054814094e-19
f11019	11019	0.000100546191297326	0.5201259277386546	3.945344350418258e-21	8.089597054814094e-19
f24968	24968	-0.00017436824407923268	-0.5204658135234789	3.9351308568744366e-21	8.089597054814094e-19
f20600	20600	-0.00015386954008135944	-0.5202568933431523	4.110228254254617e-21	8.365463318969893e-19
f1006	1006	-0.00010544005694100633	-0.5195787010383827	4.5127931571389504e-21	9.128099146489451e-19
f17233	17233	-0.0001641345046092673	-0.5188195162409317	5.138310264721055e-21	1.032957980088218e-18
f5853	5853	-0.00012220145369480764	-0.5186005805623095	5.353769172981596e-21	1.069709196708908e-18
f13019	13019	-8.27528488142499e-05	-0.5162977118477078	5.727962782169175e-21	1.1375386936128456e-18
f11361	11361	0.00015208852615355032	0.5176101543586599	6.1238877294340075e-21	1.2088406814342986e-18
f29360	29360	-0.00011672708414282949	-0.5169727903074541	6.2850070527074426e-21	1.233216234150404e-18
f23599	23599	0.0002334698432917191	0.5167266087912479	7.154559508568699e-21	1.3872460164815346e-18
f11287	11287	-0.007393409569880792	-0.5160285195480703	7.18838796034437e-21	1.3872460164815346e-18
f7903	7903	-0.00013170191751019696	-0.5168305218291182	7.197016076716946e-21	1.3872460164815346e-18
f7278	7278	8.235643016502893e-05	0.5137852775297835	7.505121761854864e-21	1.4381744438155567e-18
f2487	2487	-0.0001214889759077258	-0.5155501289533985	8.972125141061096e-21	1.7092941664086627e-18
f24720	24720	-8.148378996598435e-06	-0.5146321368264014	9.456200993709892e-21	1.7911028564270854e-18
f5333	5333	-3.8897571679886566e-05	-0.5143137433321588	9.676257070197383e-21	1.8222505268748727e-18
f4342	4342	-0.00010695324279367924	-0.5131587131980969	1.1429066312935851e-20	2.135664685798118e-18
f13334	13334	-0.00014155818548065976	-0.5140450065050284	1.1470855245985986e-20	2.135664685798118e-18
f6520	6520	0.00012873982400508666	0.5134375999536334	1.2228002644440624e-20	2.2384759254359238e-18
f11580	11580	0.00014366773167109515	0.5133912376584321	1.2184049256691367e-20	2.2384759254359238e-18
f20563	20563	0.00012895141089497232	0.5133163475984927	1.2145366740834602e-20	2.2384759254359238e-18
f94	94	0.00017715279851732442	0.5122323187202109	1.4544386013390322e-20	2.647724671593189e-18
f1049	1049	-0.00011260421070931312	-0.5123700891509056	1.481867343767247e-20	2.6827529900864724e-18
f8957	8957	-0.00014171697619791044	-0.5120110710413521	1.5723431056776866e-20	2.8309087300465076e-18
f25559	25559	-0.00015405305552121718	-0.5116222973506458	1.6582531097156626e-20	2.9692698305553462e-18
f11723	11723	4.674163311262549e-05	0.5096846263509602	2.354182555174809e-20	4.192492063476529e-18
f7650	7650	-0.00014328330764588567	-0.5085909909222577	2.5527271429774513e-20	4.521500703842439e-18
f18929	18929	0.00016203250540326863	0.5087677345384198	2.577162110160425e-20	4.540239141168646e-18
f7671	7671	-0.00012522918423720902	-0.5083122407390371	2.808844397909981e-20	4.921936536401832e-18
f14342	14342	-0.00014641136623270412	-0.5080660095905185	2.861068154281983e-20	4.98678091912298e-18
f30043	30043	-0.00012401337197973458	-0.5080747866507606	2.8834283495263093e-20	4.9991629712845555e-18
f26910	26910	0.00016310963860762838	0.5073825361001737	3.1619053776393813e-20	5.453121863920381e-18
f22520	22520	-0.00013560889618799722	-0.5073926364583192	3.189505850719919e-20	5.4719229170884976e-18
f22193	22193	0.00013008093789332114	0.5071566572023452	3.2491476867990976e-20	5.545212052137127e-18
f18063	18063	-0.0001315980102091479	-0.5070604595361514	3.507803493983062e-20	5.9556323777635734e-18
f8366	8366	-4.041501559446001e-05	-0.506683210612563	3.6292212209693175e-20	6.130016544779515e-18
f30936	30936	-0.0001463093507170145	-0.5060550194540152	3.991840796282561e-20	6.707930216030101e-18
f5154	5154	0.00017904236706921698	0.5055983179400405	4.151306633158746e-20	6.940306926293152e-18
f25942	25942	0.00017170666251071712	0.504897499023475	4.633540025270563e-20	7.707199977059178e-18
f3836	3836	0.00018597150809780162	0.5041776553098665	5.3847689601348264e-20	8.911520670994848e-18
f12506	12506	0.00018794899408281447	0.5041208156106011	5.43030312356019e-20	8.941717223759815e-18
f18391	18391	-0.00017392363307278303	-0.5037302365516267	5.577445308467538e-20	9.138086393393214e-18
f28195	28195	-0.00016564875736678784	-0.5028128652030625	6.67540368949887e-20	1.0882568562064626e-17
f25325	25325	-3.181118925048005e-05	-0.5026809166216909	6.77462443310232e-20	1.0989648189301822e-17
f29338	29338	0.00010667382591366602	0.502253649498432	7.299306020706135e-20	1.1782446289975302e-17
f17620	17620	-0.00014686290416388408	-0.5022063611417927	7.524156528494372e-20	1.2085860839495274e-17
f26948	26948	-5.551275018660817e-05	-0.5004330553346144	9.745998407028534e-20	1.5578384185439563e-17
f17543	17543	-0.00016162051671407036	-0.49930169820716414	1.1565499916197567e-19	1.8397004915240868e-17
f27248	27248	4.045123177222974e-05	0.4964738390672988	1.1662578313371768e-19	1.8461805129109472e-17
f20984	20984	-0.00017305743255097435	-0.4983740025250918	1.3769811036598942e-19	2.1692748463811256e-17
f29831	29831	0.00016421976304107895	0.4977956988581095	1.405232863530185e-19	2.203189974744359e-17
