feature	feature_idx	spearman_af	p	q
f6385	6385	0.21486621131062805	9.364180878156501e-09	2.7895043546857473e-06
f4194	4194	0.2147370462432401	9.561677384471348e-09	2.8226760768861004e-06
f682	682	0.2145458105738172	9.861519002577782e-09	2.885198702468471e-06
f12450	12450	0.21425347542235337	1.0337576389414014e-08	2.997714186976269e-06
f20289	20289	-0.21346489110342862	1.173560690629444e-08	3.3732663781180368e-06
f24347	24347	0.21321930547350482	1.2207250360180242e-08	3.478323302629445e-06
f9660	9660	0.21284453064398925	1.2962611527736943e-08	3.6190538913515317e-06
f10034	10034	0.21281094138243484	1.3032481664412864e-08	3.6190538913515317e-06
f26977	26977	-0.21285685413011327	1.2937068208207325e-08	3.6190538913515317e-06
f6232	6232	0.21206688243919417	1.4677248250733172e-08	4.041546812437181e-06
f16553	16553	-0.21195797743038228	1.4934267934000707e-08	4.07805076384446e-06
f20486	20486	-0.21150056120928692	1.6062240898875892e-08	4.349814130366655e-06
f9674	9674	-0.2113906477083802	1.6345346540467877e-08	4.390199306869274e-06
f2278	2278	0.21126099912406526	1.6685502941354726e-08	4.445126507173265e-06
f16137	16137	0.21079387511714057	1.7968902612945753e-08	4.735306377938287e-06
f30629	30629	-0.2107606442691169	1.8063760291817807e-08	4.735306377938287e-06
f31345	31345	0.2106940083773666	1.8255437051980834e-08	4.747572708883397e-06
f52	52	0.2104972915543857	1.8832855815487446e-08	4.859173380802304e-06
f26634	26634	-0.21036159996507603	1.9241419890336777e-08	4.925803491926215e-06
f18392	18392	-0.21030441572807632	1.94161605676998e-08	4.932005809940985e-06
f24451	24451	0.2100346659516367	2.026139354492639e-08	5.0905080917504284e-06
f549	549	-0.21000675824065784	2.0350847168557928e-08	5.0905080917504284e-06
f872	872	0.20905684116489823	2.3634478252562585e-08	5.8342946511766745e-06
f1732	1732	0.2090306362601166	2.3731971456857713e-08	5.8342946511766745e-06
f20299	20299	-0.20899678079836875	2.3858504738088208e-08	5.8342946511766745e-06
f15589	15589	-0.20894107163177086	2.406813870683074e-08	5.8419612529291085e-06
f7472	7472	0.20888549286357824	2.4279059114773657e-08	5.849825066712524e-06
f31783	31783	-0.20882124656017134	2.4525103605745424e-08	5.865975145642818e-06
f32277	32277	0.20864077493730107	2.5229245401485516e-08	5.990666038520851e-06
f13262	13262	-0.2085528823427761	2.557922437334423e-08	6.030072117019739e-06
f2407	2407	-0.20781352124503258	2.8715392215554773e-08	6.7210426579949916e-06
f27371	27371	0.20708384925984996	3.217387168555577e-08	7.477116506328308e-06
f24226	24226	0.20693295557006178	3.293778170652087e-08	7.600741063093492e-06
f30162	30162	0.20630217191966588	3.632562704093653e-08	8.266098242204223e-06
f27223	27223	-0.20632518811181919	3.619628809330551e-08	8.266098242204223e-06
f11491	11491	0.20615918535792116	3.7139213985614497e-08	8.392950095728385e-06
f29787	29787	0.20595437166885977	3.8335383988877646e-08	8.603930565394128e-06
f3676	3676	0.20559390764550747	4.0531731547142413e-08	9.034991696168452e-06
f24664	24664	0.20546911585976285	4.1320099341749336e-08	9.139961746742851e-06
f29384	29384	-0.20543152141042015	4.156049500319473e-08	9.139961746742851e-06
f29196	29196	0.20487706555179652	4.526702206731434e-08	9.888731860678376e-06
f5217	5217	0.20468652443527707	4.6613112172210366e-08	9.983127187313655e-06
f28753	28753	-0.20471493389766765	4.6409983536086975e-08	9.983127187313655e-06
f31136	31136	-0.20473411632045635	4.6273313103441904e-08	9.983127187313655e-06
f6365	6365	0.20449788804739805	4.7983847115179165e-08	1.0209965599157083e-05
f10417	10417	0.2039798972936251	5.195139341281197e-08	1.0982859737748533e-05
f28048	28048	-0.2039163776276866	5.245922930572321e-08	1.1019128371089348e-05
f13157	13157	-0.2036067620335306	5.500411126105679e-08	1.1480093743963752e-05
f14125	14125	0.20350332232608545	5.58806345682401e-08	1.15892191995702e-05
f14781	14781	-0.20345486383847833	5.629589149823725e-08	1.1601910519586404e-05
f25753	25753	-0.20330790552411623	5.757355368352037e-08	1.179106379438497e-05
f7389	7389	-0.20270938609637182	6.307284803013851e-08	1.2837087479823469e-05
f18903	18903	0.20260889056505912	6.40446806782084e-08	1.2954420348540325e-05
f26210	26210	-0.20200647708595315	7.018091843154055e-08	1.4108517393648595e-05
f22129	22129	0.20161114899816518	7.451256620896393e-08	1.4887974204483719e-05
f30253	30253	0.2014258875613981	7.663034415703128e-08	1.5218321923258186e-05
f9647	9647	0.20134286489298092	7.759816644487541e-08	1.5225968371650763e-05
f17545	17545	-0.20136813926922822	7.73022910584079e-08	1.5225968371650763e-05
f10602	10602	0.20119745953961835	7.932173567784707e-08	1.533335033226571e-05
f9136	9136	0.2011784949848481	7.95492418360953e-08	1.533335033226571e-05
f23408	23408	-0.20120833750004155	7.919152332998648e-08	1.533335033226571e-05
f18877	18877	-0.20080817128598843	8.412025414980698e-08	1.6119605192870616e-05
f1632	1632	0.20056230231521438	8.729417460859447e-08	1.6565247803514357e-05
f2729	2729	-0.20054993029099213	8.745690521264599e-08	1.6565247803514357e-05
f23640	23640	0.2003749045987835	8.979067628295779e-08	1.6909545289884833e-05
f32172	32172	-0.2000969659334208	9.362079010461046e-08	1.7530091715130716e-05
f4092	4092	0.19993859362217858	9.58733174354673e-08	1.7749021840256456e-05
